name,website,Idea_List
Rspamd,https://rspamd.com,https://rspamd.com/ideas.html
Read the Docs,https://readthedocs.org,http://docs.readthedocs.io/en/latest/gsoc.html
Red Hen Lab,http://redhenlab.org,https://sites.google.com/site/distributedlittleredhen/summer-of-code/google-summer-of-code-2018-ideas-page
ReactOS,https://reactos.org/,https://www.reactos.org/wiki/Google_Summer_of_Code_2018_Ideas
R project for statistical computing,https://www.r-project.org/,https://github.com/rstats-gsoc/gsoc2018/wiki/table-of-proposed-coding-projects
radare,http://radare.org,http://radare.org/gsoc/2018/ideas.html
Quill.org,https://quill.org,https://trello.com/b/sDoN2wL4/google-summer-of-code-2018-ideas
QEMU,https://qemu.org/,https://wiki.qemu.org/Google_Summer_of_Code_2018
Purr Data,https://git.purrdata.net,https://git.purrdata.net/jwilkes/summer-of-code-ideas-list/blob/master/README.md
Probot,https://probot.github.io/,https://github.com/probot/ideas/blob/master/GOOGLE_SUMMER_OF_CODE.md
Public Lab,http://publiclab.org,http://publiclab.org/gsoc-ideas
Python Software Foundation,https://www.python.org/,http://python-gsoc.org/
PostgreSQL,https://postgresql.org,https://wiki.postgresql.org/wiki/GSoC_2018
Python HYDRA,http://www.hydraecosystem.org,http://www.hydra-gsoc.appspot.com/
PMD,https://pmd.github.io/,https://github.com/pmd/pmd/wiki/Project-Ideas-%5BMature%5D
Polly Labs,http://pollylabs.org,http://pollylabs.org/gsoc2018.html
Plone,https://plone.org,https://plone.org/community/gsoc/2018/ideas
Pocket Science Lab,https://pslab.io,https://github.com/fossasia/pslab.io/wiki/Ideas
phpBB Forum Software,https://www.phpbb.com,https://www.phpbb.com/development/gsoc/ideas/
Performance Co-Pilot,http://pcp.io,http://pcp.io/gsoc/2018/ideas.html
P2PSP.org,http://www.p2psp.org,http://www.p2psp.org/en/news/78-gsoc-2018-ideas-page
OWASP Foundation,https://www.owasp.org/index.php/Main_Page,https://www.owasp.org/index.php/GSOC2018_Ideas
OW2,http://www.ow2.org,https://tc.ow2.org/bin/view/wiki/GSoC+2018+Ideas+List
phpMyAdmin,https://www.phpmyadmin.net,https://github.com/phpmyadmin/phpmyadmin/wiki/GSoC_2018_ideas_list
PEcAn Project,http://pecanproject.org,http://pecanproject.github.io/gsoc_ideas.html
Oppia Foundation,https://github.com/oppia/oppia,https://github.com/oppia/oppia/wiki/Google-Summer-of-Code-2018#oppias-project-ideas
OpenWISP,http://openwisp.org,http://openwisp.org/gsoc/ideas-2018.html
openSUSE,https://www.opensuse.org,http://101.opensuse.org/gsoc/
OSGeo,https://osgeo.org,http://wiki.osgeo.org/wiki/Google_Summer_of_Code_2018_Ideas
